Power	Speed	Thickness	Hatch	Porosity
100	250	0.05	0.11	4.60
100	250	0.05	0.11	2.30
100	250	0.05	0.11	6.20
100	175	0.05	0.11	6.10
100	120	0.05	0.11	2.86
100	120	0.05	0.11	4.30
100	120	0.05	0.11	5.70
100	239	0.05	0.11	3.20
100	239	0.05	0.12	7.60
100	239	0.05	0.12	6.20
100	167	0.05	0.12	3.80
100	167	0.05	0.12	3.90
100	167	0.05	0.12	2.00
100	111	0.05	0.12	0.55
100	111	0.05	0.12	3.30
100	111	0.05	0.12	1.40
150	125	0.05	0.09	3.00
150	150	0.05	0.09	1.70
150	175	0.05	0.09	3.00
150	200	0.05	0.09	6.70
100	1700	0.02	0.06	1.88
80	1500	0.02	0.04	1.67
80	700	0.02	0.08	0.98
100	1500	0.02	0.04	0.87
100	700	0.02	0.08	0.60
80	700	0.02	0.04	0.79
80	300	0.02	0.08	1.62
100	700	0.02	0.04	1.08
100	300	0.02	0.08	2.37
80	300	0.02	0.04	2.64
100	1388	0.02	0.04	1.08
100	925	0.02	0.06	0.84
100	694	0.02	0.08	1.16
100	462	0.02	0.12	1.54
100	1388	0.02	0.04	0.76
100	925	0.02	0.06	0.48
100	694	0.02	0.08	0.56
100	462	0.02	0.12	1.10
100	1388	0.02	0.04	0.92
100	925	0.02	0.06	0.99
100	694	0.02	0.08	1.02
100	462	0.02	0.12	2.15
100	400	0.03	0.03	2.80
100	591	0.03	0.07	1.50
100	600	0.03	0.08	2.40
100	400	0.03	0.1	2.00
100	400	0.03	0.15	8.80
220	960	0.04	0.08	4.20
220	960	0.04	0.08	4.50
220	960	0.04	0.08	4.10
220	960	0.04	0.08	4.80
220	960	0.04	0.08	4.70
220	960	0.04	0.08	4.20
220	960	0.04	0.08	4.20
150	400	0.04	0.08	1.00
150	500	0.04	0.08	0.70
150	600	0.04	0.08	1.80
150	700	0.04	0.08	4.10
150	800	0.04	0.08	8.30
175	668	0.03	0.12	0.10
175	668	0.03	0.12	0.70
175	668	0.03	0.12	1.00
175	668	0.03	0.12	2.00
200	2000	0.03	0.06	2.08
200	2000	0.03	0.06	3.00
200	2000	0.03	0.06	2.78
150	1250	0.03	0.08	3.43
150	714	0.03	0.14	2.54
150	781	0.03	0.08	0.14
150	446	0.03	0.14	0.16
200	1667	0.03	0.08	2.62
200	952	0.03	0.14	2.65
200	1042	0.03	0.08	0.30
200	595	0.03	0.14	0.73
150	750	0.03	0.12	1.28
175	750	0.03	0.12	0.27
70	1200	0.02	0.06	6.27
130	700	0.02	0.06	0.19
70	1200	0.02	0.06	5.93
130	700	0.02	0.06	0.25
180.4	821.6	0.02	0.07	1.69
269.6	821.6	0.02	0.07	1.38
180.4	1178.4	0.02	0.07	1.75
269.6	1178.4	0.02	0.07	1.37
180.4	821.6	0.02	0.11	1.39
269.6	821.6	0.02	0.11	1.47
180.4	1178.4	0.02	0.11	1.75
269.6	1178.4	0.02	0.11	1.62
150	1000	0.02	0.09	1.63
300	1000	0.02	0.09	1.29
225	700	0.02	0.09	1.27
225	1300	0.02	0.09	1.63
225	1000	0.02	0.06	1.57
225	1000	0.02	0.12	1.67
225	1000	0.02	0.09	1.35
225	1000	0.02	0.09	1.37
225	1000	0.02	0.09	1.38
225	1000	0.02	0.09	1.32
225	1000	0.02	0.09	1.29
225	1000	0.02	0.09	1.33
200	1000	0.05	0.11	3.38
200	857	0.05	0.11	1.57
200	750	0.05	0.11	1.13
175	26.28	0.46	0.02	1.07
125	21.44	0.35	0.02	1.85
175	18.76	0.4	0.02	2.20
175	26.28	0.46	0.04	1.15
125	21.44	0.35	0.04	2.35
175	18.76	0.4	0.04	1.98
175	26.28	0.46	0.06	0.73
125	21.44	0.35	0.06	0.60
175	18.76	0.4	0.06	0.46
120	700	0.03	0.04	3.45
120	700	0.03	0.06	3.93
120	700	0.03	0.08	5.17
120	900	0.03	0.04	5.67
120	900	0.03	0.06	6.49
120	900	0.03	0.08	7.46
120	1100	0.03	0.04	7.58
120	1100	0.03	0.06	5.86
120	1100	0.03	0.08	3.55
140	700	0.03	0.04	3.78
140	700	0.03	0.06	4.83
140	700	0.03	0.08	4.59
140	900	0.03	0.04	4.80
140	900	0.03	0.06	4.54
140	900	0.03	0.08	6.30
140	1100	0.03	0.04	5.31
140	1100	0.03	0.06	6.24
140	1100	0.03	0.08	7.96
160	700	0.03	0.04	1.71
160	700	0.03	0.06	2.92
160	700	0.03	0.08	2.99
160	900	0.03	0.04	3.01
160	900	0.03	0.06	4.56
160	900	0.03	0.08	5.54
160	1100	0.03	0.04	4.99
160	1100	0.03	0.06	6.92
160	1100	0.03	0.08	8.82
140	1000	0.02	0.08	2.04
160	800	0.03	0.07	1.11
